,MACD,Signal,Histogram
0,0.0,0.0,0.0
1,-0.013960113960081344,-0.002792022792016269,-0.011168091168065076
2,-0.05465296547913567,-0.01316421132944015,-0.04148875414969552
3,-0.12119519427062642,-0.03477040791767741,-0.086424786352949
4,-0.1605967103406556,-0.059935668402273046,-0.10066104193838254
5,-0.1609187333546629,-0.08013228139275103,-0.08078645196191186
6,-0.12862494815647096,-0.08983081474549501,-0.038794133410975956
7,-0.06655859282273013,-0.08517637036094203,0.018617777538211894
8,0.09720460400933462,-0.04870017548688671,0.14590477949622133
9,0.20435463453009106,0.0019107865165088403,0.20244384801358223
10,0.2867729816956057,0.05888322555232822,0.2278897561432775
11,0.2882486328173286,0.10475630700532831,0.18349232581200028
12,0.3491398280515341,0.1536330112145695,0.1955068168369646
13,0.34620113681847897,0.1921466363353514,0.15405450048312758
14,0.31562294697130255,0.21684189846254165,0.0987810485087609
15,0.2840323657865156,0.23027999192733645,0.05375237385917914
16,0.21461145613136523,0.22714628476814222,-0.01253482863677699
17,0.19008383225758507,0.21973379426603082,-0.029649962008445746
18,0.17827348498030915,0.2114417324088865,-0.03316824742857735
19,0.19451012474905838,0.2080554108769209,-0.013545286127862516
20,0.21859968439980548,0.2101642655814978,0.008435418818307672
21,0.2810265509706369,0.22433672265932564,0.05668982831131125
22,0.3221470128028159,0.2438987806880237,0.07824823211479218
23,0.3766186337504678,0.27044275130051254,0.10617588244995524
24,0.3701480389516405,0.2903838088307381,0.07976423012090239
25,0.2553457434374309,0.2833761957520767,-0.028030452314645793
26,0.1648841644056347,0.2596777894827883,-0.09479362507715361
27,0.11406800801995587,0.23055583319022183,-0.11648782517026596
28,0.07375258056083567,0.1991951826643446,-0.12544260210350894
29,0.01579886867057212,0.1625159198655901,-0.146717051195018
30,-0.08961556507443902,0.11208962287758428,-0.2017051879520233
31,-0.25195319191089993,0.039281059919887444,-0.2912342518307874
32,-0.614987478555804,-0.09157264777525084,-0.5234148307805532
33,-0.7803278743197666,-0.229323693084154,-0.5510041812356126
34,-0.9993663282735952,-0.38333222012204227,-0.6160341081515529
35,-1.2175512556929675,-0.5501760272362274,-0.6673752284567401
36,-1.3462995463412994,-0.7094007310572419,-0.6368988152840576
37,-1.4573553347826191,-0.8589916518023173,-0.5983636829803018
38,-1.4404063902875919,-0.9752745994993722,-0.46513179078821965
39,-1.3696297939990814,-1.054145638399314,-0.3154841555997674
40,-1.3177150271746996,-1.1068595161543913,-0.2108555110203083
41,-1.2616893263617044,-1.137825478195854,-0.1238638481658505
42,-1.256400935965587,-1.1615405697498007,-0.09486036621578631
43,-1.1846997647325566,-1.1661724087463519,-0.018527355986204697
44,-1.1515105306925761,-1.1632400331355968,0.011729502443020623
45,-1.1323279623627514,-1.1570576189810278,0.02472965661827642
46,-1.115562953416486,-1.1487586858681194,0.03319573245163343
47,-1.0925070295592718,-1.1375083546063498,0.04500132504707799
48,-1.1150414820408514,-1.13301498009325,0.017973498052398673
49,-1.0737218481498871,-1.1211563537045777,0.04743450555469053
50,-1.030301373185182,-1.1029853576006985,0.07268398441551649
51,-0.9985092475212696,-1.0820901355848127,0.08358088806354314
52,-0.8832475052201971,-1.0423216095118897,0.15907410429169255
53,-0.9484042882581889,-1.0235381452611496,0.07513385700296071
54,-0.9698985850741337,-1.0128102332237465,0.04291164814961279
55,-0.9346032497011834,-0.9971688365192339,0.06256558681805058
56,-0.9214276650106399,-0.9820206022175152,0.06059293720687531
57,-0.8718863645835313,-0.9599937546907185,0.08810739010718716
58,-0.7904293757635514,-0.9260808789052851,0.1356515031417337
59,-0.7403370981894,-0.8889321227621081,0.14859502457270812
60,-0.7373264864353359,-0.8586109954967538,0.12128450906141786
61,-0.7022346796601937,-0.8273357323294418,0.1251010526692481
62,-0.6013253190282057,-0.7821336496691946,0.1808083306409889
63,-0.5412587223048604,-0.7339586641963278,0.19269994189146744
64,-0.5232092949881917,-0.6918087903547007,0.16859949536650898
65,-0.5378063613925974,-0.6610083045622801,0.12320194316968269
66,-0.5746239335169889,-0.6437314303532219,0.06910749683623296
67,-0.6503684822353648,-0.6450588407296506,-0.005309641505714224
68,-0.7110758240262953,-0.6582622373889796,-0.052813586637315724
69,-0.7270023644718435,-0.6720102628055524,-0.05499210166629109
70,-0.7463521911516864,-0.6868786484747792,-0.05947354267690719
71,-0.7657704064575341,-0.7026570000713303,-0.06311340638620389
72,-0.7606904280623326,-0.7142636856695308,-0.046426742392801756
73,-0.7524290156096072,-0.7218967516575461,-0.0305322639520611
74,-0.7585213105185744,-0.7292216634297518,-0.0292996470888226
75,-0.7295221534184861,-0.7292817614274987,-0.00024039199098746522
76,-0.6673692849963118,-0.7168992661412613,0.04952998114494955
77,-0.5815609774290351,-0.6898316083988162,0.10827063096978107
78,-0.22890135209945583,-0.5976455571389442,0.36874420503948835
79,0.17844053500607515,-0.4424283387099403,0.6208688737160155
80,0.6723324347610173,-0.2194761840157488,0.8918086187767662
81,1.0504342657968664,0.03450590594677422,1.015928359850092
82,1.3221250534654132,0.29202973545050204,1.030095318014911
83,1.5555315104311376,0.5447300904466292,1.0108014199845083
84,1.7769122785903733,0.7911665280753781,0.9857457505149951
85,1.8631004897852677,1.0055533204173561,0.8575471693679115
86,2.0003351226042128,1.2045096808547275,0.7958254417494852
87,2.091441058600765,1.381895956403935,0.7095451021968298
88,2.1242284322892715,1.5303624515810024,0.5938659807082691
89,2.0829110933581205,1.640872179936426,0.44203891342169443
90,2.058432709940746,1.7243842859372902,0.3340484240034558
