,open,high,low,close,volume
2025-06-30 09:30:00,497.04,498.0,495.58,496.665,750192
2025-06-30 09:35:00,496.705,497.86,496.6132,497.14,251392
2025-06-30 09:40:00,497.145,497.5699,496.69,497.05,198823
2025-06-30 09:45:00,497.05,497.47,496.65,496.77,269250
2025-06-30 09:50:00,496.67,497.73,496.61,497.13,200747
2025-06-30 09:55:00,497.13,497.53,496.75,496.875,682650
2025-06-30 10:00:00,496.875,496.95,495.79,496.01,236822
2025-06-30 10:05:00,495.995,496.4458,495.625,495.7505,185797
2025-06-30 10:10:00,495.71,496.74,495.64,496.5,219052
2025-06-30 10:15:00,496.46,496.5,495.88,496.325,185952
2025-06-30 10:20:00,496.325,496.48,496.05,496.22,242684
2025-06-30 10:25:00,496.1801,496.26,495.68,496.0577,210127
2025-06-30 10:30:00,496.075,496.15,495.5,495.61,195681
2025-06-30 10:35:00,495.61,496.11,495.33,496.023,189696
2025-06-30 10:40:00,496.03,496.55,495.77,496.2,132994
2025-06-30 10:45:00,496.1,497.02,496.1,496.865,161294
2025-06-30 10:50:00,496.92,496.94,496.55,496.68,113147
2025-06-30 10:55:00,496.715,496.81,496.42,496.56,114003
2025-06-30 11:00:00,496.64,496.93,496.49,496.695,259246
2025-06-30 11:05:00,496.74,497.42,496.699,497.2648,421299
2025-06-30 11:10:00,497.26,497.3146,496.87,496.945,187889
2025-06-30 11:15:00,496.925,497.05,496.76,496.9,710221
2025-06-30 11:20:00,496.885,497.49,496.82,497.23,256968
2025-06-30 11:25:00,497.24,497.51,497.11,497.3875,160087
2025-06-30 11:30:00,497.43,498.17,497.25,498.13,238134
2025-06-30 11:35:00,498.15,498.821,498.08,498.821,264568
2025-06-30 11:40:00,498.82,499.06,498.57,498.8213,237518
2025-06-30 11:45:00,498.885,499.085,498.5,498.93,189265
2025-06-30 11:50:00,499.0,499.31,498.83,498.92,151432
2025-06-30 11:55:00,498.95,498.95,498.45,498.57,249845
2025-06-30 12:00:00,498.59,498.87,498.57,498.84,150304
2025-06-30 12:05:00,498.82,499.18,498.68,499.1,146621
2025-06-30 12:10:00,499.135,499.1621,498.58,498.58,105978
2025-06-30 12:15:00,498.615,498.75,498.4309,498.59,245419
2025-06-30 12:20:00,498.56,498.585,497.99,498.03,124177
2025-06-30 12:25:00,498.1,498.21,497.76,497.83,136504
2025-06-30 12:30:00,497.815,498.37,497.73,498.285,245019
