,DIFF,DEA,BAR
0,0.0,0.0,0.0
1,0.008774928774926138,0.0017549857549852277,0.007019943019940911
2,0.04702793646154646,0.010809575896297476,0.036218360565248985
3,0.08247712554410214,0.025143085825858412,0.057334039718243725
4,0.12486635202708385,0.0450877390661035,0.07977861296098035
5,0.1666258160575751,0.06939535446439782,0.09723046159317728
6,0.17111968883295958,0.08974022133811017,0.08137946749484941
7,0.16949158700361977,0.1056904944712121,0.06380109253240768
8,0.2352953068011061,0.1316114569371909,0.10368384986391521
9,0.2973239156817158,0.16475394868609589,0.1325699669956199
10,0.3158178523752895,0.19496672942393461,0.12085112295135486
11,0.3238365451993275,0.2207406925790132,0.10309585262031429
12,0.32810376555775633,0.24221330717476183,0.0858904583829945
13,0.3484486958606965,0.2634603849119488,0.0849883109487477
14,0.3512437415868135,0.28101705624692175,0.07022668533989174
15,0.34548209659629947,0.29391006431679734,0.051572032279502134
16,0.32143542776790923,0.2994151370070197,0.022020290760889516
17,0.31488677922411057,0.3025094654504379,0.012377313773672682
18,0.2906120627954749,0.3001299849194453,-0.009517922123970401
19,0.26388615034804275,0.2928812180051648,-0.028995067657122064
20,0.20353181836958356,0.27501133807804856,-0.071479519708465
21,0.20350455749334628,0.2607099819611081,-0.057205424467761834
22,0.20674810458467618,0.24991760648582173,-0.043169501901145546
23,0.21730361179774604,0.2433948075482066,-0.026091195750460566
24,0.2354698512176867,0.24180981628210263,-0.00633996506441592
25,0.22866368721656727,0.2391805904689956,-0.010516903252428322
26,0.07474246257504547,0.20629296489020557,-0.1315505023151601
27,-0.045841316988258995,0.15586610851451266,-0.20170742550277165
28,-0.14381389280578105,0.09593010825045392,-0.23974400105623497
29,-0.3286526471607374,0.011013557168215657,-0.33966620432895306
30,-0.5691997892091081,-0.10502911210724909,-0.464170677101859
31,-0.7713583786861875,-0.2382949654230368,-0.5330634132631507
32,-1.0338238447587287,-0.3974007412901752,-0.6364231034685535
33,-1.1339534965846951,-0.5447112923490792,-0.5892422042356159
34,-1.2401638677123117,-0.6838018074217258,-0.5563620602905859
35,-1.2738732597044589,-0.8018160978782725,-0.4720571618261864
36,-1.2680971621518324,-0.8950723107329845,-0.3730248514188479
37,-1.2207934143581838,-0.9602165314580244,-0.26057688290015935
38,-1.1331486727607682,-0.9948029597185732,-0.138345713042195
39,-1.0108600726743475,-0.9980143823097282,-0.012845690364619355
40,-0.8736156130889867,-0.9731346284655799,0.09951901537659313
41,-0.7932261861991776,-0.9371529400122995,0.14392675381312192
42,-0.7235965647191165,-0.8944416649536631,0.17084510023454658
43,-0.6368657038476329,-0.842926472732457,0.20606076888482416
44,-0.5656450498446475,-0.7874701881548951,0.22182513831024764
45,-0.5148306337472093,-0.7329422772733579,0.21811164352614865
46,-0.4643973375598023,-0.6792332893306468,0.21483595177084447
47,-0.4847097426829521,-0.6403285800011078,0.15561883731815573
48,-0.5300484105978285,-0.618272546120452,0.08822413552262354
49,-0.5138123423191985,-0.5973805053602014,0.0835681630410029
50,-0.5140147122739052,-0.5807073467429421,0.06669263446903695
51,-0.5246369142352876,-0.5694932602414112,0.04485634600612365
52,-0.43683793384340674,-0.5429621949618104,0.10612426111840367
53,-0.3702508359996841,-0.5084199231693852,0.1381690871697011
54,-0.22213216007085634,-0.4511623705496795,0.22903021047882316
55,-0.0552832583024383,-0.37198654810023124,0.31670328979779294
56,0.06823520614065615,-0.2839421972520538,0.3521774033927099
57,0.2534484166742459,-0.17646407446679385,0.42991249114103974
58,0.3697283005204781,-0.06722559946933947,0.4369538999898176
59,0.4235119325878429,0.03092190694209701,0.3925900256457459
60,0.44887390150000783,0.11451230585367919,0.3343615956463286
61,0.4987127785508392,0.1913524003931112,0.307360378157728
62,0.5480473656584763,0.26269139344618425,0.2853559722122921
63,0.5994639525301579,0.330045905262979,0.26941804726717894
64,0.6386198088822823,0.39176068598683966,0.24685912289544265
65,0.6685371344130715,0.44711597567208605,0.22142115874098545
66,0.6886098295222212,0.4954147464421131,0.19319508308010808
67,0.6889424558382871,0.534120288321348,0.1548221675169391
68,0.664966679238745,0.5602895665048274,0.10467711273391755
69,0.6521575473816483,0.5786631626801916,0.07349438470145675
70,0.6131594235918101,0.5855624148625154,0.027597008729294714
71,0.5800052306101691,0.5844509780120462,-0.004445747401877087
72,0.5366507463013193,0.5748909316699008,-0.038240185368581536
73,0.48619750934940953,0.5571522472058026,-0.07095473785639306
74,0.4495039760183772,0.5356225929683176,-0.08611861694994039
75,0.4230118461890413,0.5131004436124623,-0.09008859742342101
76,0.4163811251411289,0.49375657991819566,-0.07737545477706675
77,0.41561482089969104,0.47812822811449474,-0.0625134072148037
78,0.48526384383416143,0.4795553512584281,0.005708492575733359
79,0.5841197581693507,0.5004682326406126,0.08365152552873811
80,0.7239490955183498,0.54516440521616,0.1787846903021898
81,0.9018410367972649,0.616499731532381,0.2853413052648839
82,0.9750972182916087,0.6882192288842266,0.2868779894073821
83,1.0050261671171654,0.7515806165308144,0.253445550586351
84,1.0058533929250189,0.8024351718096554,0.20341822111536345
85,1.012588645134315,0.8444658664745874,0.16812277865972747
86,1.0055283595987703,0.876678365099424,0.1288499944993463
87,0.9563337956082592,0.8926094512011911,0.06372434440706809
88,0.9267399486571719,0.8994355506923873,0.027304397964784566
89,0.8722200976424404,0.893992460082398,-0.021772362439957615
90,0.7896746861904944,0.8731289053040173,-0.08345421911352291
91,0.7372305639852641,0.8459492370402668,-0.10871867305500271
92,0.6812708606736351,0.8130135617669405,-0.13174270109330544
