,RSI
0,
1,0.0
2,0.0
3,0.0
4,0.0
5,22.97551789077123
6,18.074074074073394
7,16.331994645246922
8,29.057888762769522
9,30.478309232480115
10,38.42364532019734
11,41.204139228598095
12,35.011990407673565
13,38.73398643556872
14,37.70318643272085
15,42.95295489891125
16,43.51693802521027
17,44.74634623822833
18,47.74888344618928
19,42.004477492604565
20,49.99770778893313
21,54.947066389631374
22,49.74061810154527
23,48.30757079995482
24,34.26721529710707
25,30.481249200051707
26,42.80963508898102
27,27.997261881479375
28,31.85560481317387
29,30.670103092782554
30,38.477901205389344
31,48.96976989020908
32,42.77456647398784
33,33.93021120293871
34,29.43478761367618
35,42.49530956847934
36,36.17242815493583
37,42.41562381494159
38,46.85307362027421
39,48.477157360406096
40,62.42195328759746
41,67.50583527842474
42,71.21335204194554
43,60.64790913784185
44,59.21295077651985
45,53.41327318057717
46,54.217883827428636
47,60.25904077968658
48,62.47906197654964
49,57.012105107764846
50,58.83517104891143
51,55.70428962579873
52,59.651886272347895
53,54.922810333963355
54,44.01838990511631
55,38.461538461539405
56,35.13513513513438
57,42.34527687296435
58,39.99999999999883
59,55.973475377757566
60,61.95403681867471
61,59.0084493041759
62,68.723928706864
63,67.08222306813975
64,56.819421713039425
65,56.30744278248444
66,57.270003524850495
67,54.85313977042625
68,46.69366837493718
69,49.561326548517634
70,38.23331652378453
71,35.5724116359076
72,37.95721750489803
73,24.479804161564758
74,22.38756831500406
75,22.222222222219955
76,4.580152671753908
77,4.415011037525829
78,4.544421722334022
79,6.034871486545072
80,2.3119182054008434
81,2.423030787683558
82,2.5028911283647375
83,2.48238571194355
84,4.654821395520443
85,13.436667934575894
86,19.83973230010585
87,27.88997214484631
88,28.586723768736647
89,41.62946428571425
90,39.24813468528794
91,36.003861003860834
92,47.55847353303174
93,49.60567823343884
94,47.54346182917616
95,55.52102755334658
96,59.457550501483304
97,63.12237552489653
98,64.06546836183028
99,62.81847735692238
100,61.53605506022255
101,61.98206555349502
102,61.03836784409291
103,52.70270270270245
104,59.86357924968593
105,66.36815920398149
106,59.559703278297924
107,53.43320848938898
108,61.13360323886736
109,54.54545454545372
110,59.618620302861984
111,61.89828664672265
112,60.893230983950886
113,44.83667621776434
114,43.54914379544983
115,40.992073024262254
116,50.701655907942154
117,51.80671063951928
118,42.71119842829016
119,46.550772626930595
120,46.23184434091463
121,49.647788109324864
122,40.181639666175506
123,51.85697352824967
124,46.42778632666517
125,42.11204121056027
126,35.32269257460044
127,41.30535590076437
128,38.725373842866745
129,40.266635205283656
130,39.190487629112646
131,40.40866873064967
132,53.44933218968256
133,54.217883827428295
134,55.62263257575794
135,60.93977912065118
136,71.18145445987473
137,49.62021618463526
138,47.7934686672549
139,45.58080808080684
140,59.85689252336389
141,59.423021165555035
142,61.97520428289569
143,65.38856116953079
144,66.57585139318937
145,54.28657982429571
146,41.91493531948359
147,46.381400398046964
148,45.89191163045473
149,42.47864906832345
150,43.24427846404367
151,50.994629003380766
152,50.49241678156484
153,54.519353466610184
154,56.34377870776771
155,57.861635220125784
156,54.71698113207547
157,54.95307612095912
158,54.57413249211289
159,73.33257455042002
160,87.2326022204168
161,76.48153449756693
162,76.13999419111309
163,74.27184466019447
164,69.93806574559198
165,67.83893985728874
166,68.42015078820748
167,64.54898157129021
168,46.27292613158402
169,49.55752212389421
170,45.90163934426359
171,34.2342342342334
172,39.699322649926955
173,27.7513855898639
174,29.126213592233285
175,39.795918367344804
176,49.137931034481106
177,51.23966942148872
178,47.47320061255861
179,47.71341463414637
180,40.0768245838672
181,44.778067885117004
182,56.70241286863173
183,56.41025641025571
184,66.75603217157965
185,73.07206068267917
186,63.19095477386951
187,56.490896192953414
188,51.091703056769084
189,51.619870410367206
190,50.29953405813227
191,47.69266266728081
192,59.69485060394103
193,52.42530073729197
194,59.33245498462982
195,60.20627417275476
196,49.48496085702558
197,48.242618999799234
198,46.35161861142756
199,35.792670977855394
200,37.25270242708448
201,33.962439568611785
202,34.44276824438846
203,33.50229533282253
204,35.92886103943958
205,34.97488338715483
206,28.21350762527088
207,33.2428617956771
208,33.74476526338793
209,35.521235521236065
210,42.877492877492585
211,45.5218533556234
212,33.88413098236792
213,41.50237933378619
214,46.63903204122781
215,56.53945402689213
216,63.30935251798591
217,63.0434782608701
218,56.7796610169481
219,63.636363636363214
220,65.6035021888683
221,57.9008576828025
222,51.620010368066716
223,45.11582472788194
224,45.87118084227873
225,46.241115363588065
226,65.08309248554959
227,60.538856304986574
228,50.0
229,48.926514225867436
230,52.43823146944098
231,44.5753254804716
232,45.42124542124511
233,39.60332693538021
234,27.741083223248182
235,32.723948811698946
236,42.79835390946474
237,46.91358024691323
238,45.79831932773167
239,53.59712230215785
240,52.133580705009074
241,48.70017331022395
242,53.83141762452059
243,60.62271062271055
244,57.00000000000011
245,67.03296703296883
246,72.4770642201856
247,70.53571428571433
248,81.41592920354063
249,76.24384445576653
250,72.42628039317148
251,72.42152466367722
252,69.64987495534224
253,64.21651221567001
254,64.58941225510836
255,70.59225512528563
256,70.4638472032754
257,65.00750375187548
258,56.473634651601486
259,54.88042947779319
260,38.08767471410565
261,24.73184818481839
262,20.39703315881404
263,23.22010237319904
264,23.49894042853994
265,38.674971687429284
266,37.95850314931329
267,34.25342719525989
268,32.400889218229636
269,49.20658242727086
270,57.83178040795654
271,58.863003291973754
272,62.917329093799424
273,64.4209991102073
274,65.38856116952951
275,87.94411866160873
276,87.44837493266444
277,85.64047746303125
278,74.36571782178308
279,64.50852375770806
280,68.70324189526377
281,69.9492201668489
282,74.11040904556035
283,67.6769773718083
284,53.38983050847394
285,52.68817204300821
286,63.04073918521556
287,62.15867555364377
288,59.336099585061504
289,61.47640177490762
290,64.43865202010662
291,72.2871195819241
292,87.26609578179244
293,84.58346142022744
294,81.22073056509397
295,69.31787903010746
296,67.12817584926977
297,58.87991236478026
298,65.43209876543206
299,66.46706586826366
300,54.03285118901669
301,37.38738738738717
302,34.87394957983217
303,39.75435323383064
304,36.805443058479256
305,35.00499833388744
306,28.62913405705548
307,32.717922778621144
308,33.84628464546857
309,38.281909406358416
310,32.73594212430163
311,32.469015003261475
312,18.167418057756038
313,23.087494273934936
314,27.065560359939298
315,68.06358381502898
316,54.85248447204956
317,50.24000862952368
318,49.44529964435487
319,48.653529935035316
320,52.980776614533994
321,55.61757031023454
322,57.1198468649328
323,57.905953526742664
324,63.73388701444761
325,65.08658387266065
326,74.71602860748831
327,74.1418873697293
328,74.11094624994008
329,60.706113108858794
330,87.5508040289802
331,96.97083021690392
332,100.0
333,100.0
334,93.91837065887695
335,90.83563967502819
336,90.87798809206353
337,91.95059792197537
338,89.5238538082383
339,90.99016236103222
340,91.18406636406215
341,93.16879415420914
342,93.48052549337258
343,93.42937968444606
344,93.8284117679278
345,93.14421464505207
346,74.19394657581567
347,74.72801121802577
348,78.5059292332802
349,72.60134085157384
350,72.25519287833824
351,73.53433117467922
352,74.47926519116369
353,73.30489842582004
354,74.77458760958979
355,72.65623240626053
356,70.47872962417269
357,72.14572576018357
358,62.85996417581412
359,63.45018534620849
360,79.83866889192315
361,78.29944748373755
362,74.1097922848662
363,84.40860215053762
364,84.23278292388228
365,69.67906418716223
366,61.75179624814813
367,56.438303057155515
368,54.940994500458245
369,50.56098557465651
370,53.63473290565818
371,49.08010284149704
372,51.04173900965349
373,48.71611982881585
374,38.04261178346268
375,41.737086002453076
376,43.43925101070987
377,37.944048869693184
378,33.47633136094623
379,46.448613115279755
380,45.30810134501073
381,52.29570429570445
382,46.528710920003505
383,45.421295661317565
384,37.72277227722729
385,28.736362673445498
386,29.24752048296662
387,36.057889694812935
388,36.62172492876463
389,27.79779908616993
390,55.966824456024526
391,61.81285036653759
392,51.413158876359375
393,51.916742389822886
394,56.71219284421868
395,59.631504463313654
396,56.896829878196414
397,56.035533879115206
398,61.342604171877355
399,63.12348792917088
400,61.42710446564978
401,58.64192875279685
402,59.50206622111124
403,64.40494031316206
404,53.85233820179558
405,51.109060581325195
406,68.04209745468054
407,65.85257108887367
408,67.31006354927464
409,64.11297670180949
410,70.00158011166143
411,59.503928723332756
412,49.94837377387725
413,60.05430525821093
414,70.0
415,74.441340782123
416,73.5172413793107
417,71.17117117117141
418,70.10184060543793
419,68.20981521955107
420,66.17375231053656
421,66.3955928646383
422,64.45862523409889
423,59.563620004498965
424,50.08985694773912
425,71.612561750177
426,68.095457786353
427,62.823770892386406
428,60.81693623158568
429,51.69960116026152
430,49.89065780265868
431,50.646161798914484
432,56.87507057627928
433,57.97909407665527
434,61.42122920979364
435,61.82993149233698
436,55.859896219422076
437,56.14708292973733
438,64.9543286718945
439,58.24803316132354
440,64.72247027306481
441,59.47136563876674
442,52.4361948955921
443,63.33638863428039
444,67.13807621720908
445,50.10581562685168
446,36.10690872415449
447,40.12030075187954
448,46.03082403965335
449,45.71762414800397
450,51.87448451675777
451,50.51106081623698
452,51.0824853864473
453,54.08709221966259
454,44.91792150086411
455,49.054045531941696
456,48.51858782435132
457,44.07323633696054
458,41.09382124943003
459,47.13940107231621
460,44.79480567895891
461,32.788002726653005
462,33.355863467387096
463,31.93897977497079
464,26.39247510143842
465,24.42813246841895
466,20.211291998614215
467,19.62946163776499
468,21.148785805578015
469,17.7636126257579
470,20.375527090460025
471,28.362550113984682
472,31.884057971014116
473,44.42967711672282
474,57.25022465484821
475,62.864120006976535
476,59.875612514134566
477,56.23281186601144
478,52.30646649333252
479,66.84054875544308
480,71.13016179666737
481,74.34090502593477
482,85.65220826420149
483,88.98322634085751
484,88.1721179998604
485,87.92194844039295
486,88.23655529748126
487,77.12494368523816
488,70.20992740827954
489,66.42238760631852
490,60.74755001214865
491,64.28451390639378
492,55.63595374881772
493,41.07206628097999
494,42.78432732316225
495,36.04759320982882
496,33.07219903944562
497,19.557111676973733
498,21.115771433725584
499,17.03348828384341
500,14.785223013878536
501,18.607825295723202
502,19.58718452181398
503,29.45662535748268
504,36.07484769364661
505,32.77276456111569
506,38.63636363636343
507,45.97238204833092
508,31.021464782655485
509,29.547900968782855
510,27.20515361744269
511,37.19156572453995
512,31.506194478747645
513,37.90089569488597
514,42.50648088139974
515,38.03615604186457
516,37.168997322224975
517,27.13566043802929
518,22.018697271414297
519,22.46781448735817
520,25.194311228708443
521,25.83517042564017
522,26.978926863821457
523,26.502565886753217
524,35.93073593073565
525,37.81512605041973
526,42.4408186362346
527,31.75761421319774
528,31.590574374079438
529,33.413073713490974
530,39.838559112624495
531,54.84496124031018
532,56.07095768908057
533,62.144877628828596
534,59.38711240310108
535,54.7454220634209
536,56.47316286569981
537,59.359430604982165
538,54.33217808584374
539,44.4417416686934
540,45.8239277652372
541,51.740836603489754
542,50.11321365033188
543,61.18441006976055
544,53.119401822571525
545,49.58116937510507
546,48.281491665234846
547,40.61561561561523
548,44.03646277048781
549,55.170144764054506
550,70.02055498458445
551,73.68278599783642
552,74.28143184623703
553,73.85029134917268
554,76.04881090229044
555,58.325255387368486
556,66.82913620362811
557,57.14285714285656
558,63.829787234042556
559,65.54054054054032
560,64.24266507715734
561,69.93285774234056
562,73.08583234207653
563,67.53646378238571
564,63.464945583395995
565,59.06049623640861
566,51.277705345501715
567,53.57187228227042
568,54.14161246778707
569,60.035378963124636
570,49.229651162790944
571,57.87288863441181
572,54.97246022031819
573,51.64311534669706
574,57.26306127132253
575,54.971699556371355
576,52.90776737860967
577,60.382381413359006
578,66.60611565243804
579,68.1536189069428
580,68.32518880497592
581,64.8075024679177
582,65.79241963857399
583,73.54299928926818
584,72.97249647390663
585,62.57635644987389
586,49.63851937536079
587,51.564455569461366
588,43.19066147859929
589,41.62871684971873
590,34.19034090909108
591,26.715902161393657
592,18.982952903784934
593,26.28811777076787
594,27.685492801771986
595,23.099415204678465
596,18.960244648317953
597,16.944444444444713
598,17.837300426925893
599,19.00785242428057
600,24.78052379195927
601,16.138659320478112
602,18.47298879411244
603,30.223997493735084
604,32.41429495472201
605,39.30290604385929
606,36.395905563811105
607,34.75867908552068
608,43.90025990903149
609,61.10083256244243
610,57.38488271068698
611,68.3175168050608
612,71.5404955440205
613,72.1426483484361
614,73.9023277042445
615,78.66303925379023
616,79.26737160120933
617,70.69796688325296
618,71.15146512587744
619,69.65472871541905
620,69.20946089921344
621,68.5185185185203
622,65.30612244898091
623,66.32878946755415
624,73.300970873788
625,75.0417960353489
626,70.28639618138598
627,69.09676649564541
628,71.47577092511125
629,69.9353448275865
630,56.49350649350716
631,57.02247191011255
632,52.73224043715853
633,49.72518035039569
634,59.05698161296118
635,47.723099522585485
636,44.80936202340583
637,44.000766063391225
638,47.06734250542992
639,51.250416805601915
640,53.03448275861975
641,55.04371217215896
642,54.662597490674315
643,57.52986707050332
644,69.1251471165162
645,71.22069523039823
646,74.20509580964539
647,74.61359305526292
648,59.90566037735911
649,69.77434679334927
650,71.14427860696583
651,66.10169491525369
652,67.91443850267365
653,67.39130434782541
654,60.7093866353127
655,46.04636392505635
656,43.328885923949386
657,41.42389243233853
658,42.847531746699545
659,44.99666444296186
660,50.01172699554412
661,55.25107045542961
662,63.76460017969436
663,58.980269223677666
664,57.98342541436414
665,49.4114877589459
666,41.03156887755087
667,38.58352706741862
668,47.62178120387096
669,62.864803547488584
670,51.25628140703549
671,51.5000000000001
672,47.45434139373483
673,41.23222748815114
674,36.4037337162786
675,30.63440860215053
676,36.94827241861299
677,43.00347893312693
678,46.612516152852436
679,57.06214689265544
680,64.8148148148141
681,56.16438356164416
682,48.3037156704349
683,46.6666666666673
684,62.638835695136486
685,68.02687643395623
686,69.16027990670017
687,67.60586319218118
688,68.0635838150281
689,71.40036202073364
690,63.11979732175236
691,61.37225170583804
692,62.44010320678148
693,65.36958368733946
694,52.90107339715852
695,41.23699683401169
696,42.846145386561176
697,44.015943121836024
698,38.66310160427751
699,37.445462478185895
700,35.700915141431565
701,51.86933898631759
702,48.80268199233691
703,47.6167778836983
704,45.86776859504127
705,48.694516971279356
706,45.618081180811984
707,38.73586046110086
708,35.96856959589478
709,45.702826585179615
710,45.44756787873025
711,45.2374073003944
712,45.85122998828688
713,42.49429815467525
714,48.14775613886558
715,40.95456188983919
716,38.412841962468285
717,41.43267742648667
718,48.31384892086325
719,38.089566460217995
720,28.173881411422414
721,26.71610900310452
722,30.089355089355024
723,42.3975672215109
724,41.65045395590185
725,36.52323322874693
726,41.306081032108125
727,45.63641245972087
728,39.79937304075211
729,42.17404396266216
730,46.62700846314283
731,44.75502900160472
732,41.361224237936504
733,45.06355670739242
734,56.02580462214609
735,65.75140012445536
736,71.6723012815474
737,65.86775293671886
738,70.00499500499541
739,79.27684835402002
740,74.04940327504922
741,66.16062683643568
742,75.84774309454242
743,55.78238451015523
744,48.715025906735804
745,52.52576278036023
746,64.53239870063297
747,62.614885564966954
748,57.46741491672677
749,59.65831043956032
750,52.44889445139826
751,44.9048913043481
752,36.38241612956407
753,38.63871841874565
754,36.976584547326915
755,33.19865781003911
756,33.921161825726
757,38.90695645276369
758,41.17696440564083
759,36.53017241379242
760,21.978805787652192
761,22.765785757515772
762,28.908672601781575
763,27.950121654501174
764,32.24983359219077
765,41.48273175798469
766,44.597329016593285
767,44.22868006518123
768,47.90410354463824
769,61.955487920867554
770,58.683293599855375
771,57.122456265620194
772,69.48051948052068
773,57.21925133689964
774,67.74193548387156
775,65.6126482213448
776,57.57302695802323
777,54.435483870968255
778,56.538461538461135
779,52.26465364120836
780,71.64959781987625
781,71.83406113537153
782,75.15657620041739
783,82.81014041062893
784,79.07526155923017
785,83.54559088944808
786,84.0942598781207
787,89.34017932408587
788,88.62818835840388
789,90.02348643006229
790,93.3142539152558
791,93.72325604537782
792,94.11146898193549
793,95.22268927407528
794,87.01258568378479
795,88.16011883419564
796,82.70769385598572
797,79.64942409617147
798,85.07246376811617
799,82.53526858383104
800,81.80212014134295
801,82.57132221056585
802,83.36025848142194
803,83.1009023789994
804,80.6766769392174
805,78.47177735070134
806,63.98037601207647
807,68.22840409956098
808,70.4153806584361
809,63.63438045375239
810,68.76203198051309
811,57.93240850059046
812,57.14178319049764
813,52.22704294869228
814,45.18908969210189
815,43.04468788036798
816,33.40755330992553
817,24.690535882168334
818,24.093115706585635
819,27.8436973558927
820,46.01854473386191
821,38.08147482716871
822,44.78456292622471
823,43.42500751427722
824,46.268170969841535
825,58.3132354015935
826,56.81405208964294
827,58.45633456334617
828,55.87889476778348
829,50.537326264507826
830,50.593509055047335
831,51.78577983335146
832,54.542642851620094
833,49.014580383452525
834,37.585496111683696
835,42.807695765531065
836,43.52361505681832
837,48.61303744798886
838,50.803346169167675
839,40.11095031355536
840,36.42928286852576
841,41.79206566347453
842,47.49121926743619
843,50.265533722783296
844,56.980314249593384
845,70.13788098693722
846,73.06937172774838
847,68.02120141342688
848,60.97913415409441
849,54.354354354353596
850,54.653937947493155
851,52.48447204968884
852,38.1446444919139
853,50.28137310073131
854,48.245140388768995
855,42.154496077248496
856,40.588949605343245
857,46.46434885091337
858,49.99718611064203
859,45.30467445742893
860,48.527101335428085
861,55.31367172197636
862,66.86768538866448
863,65.36117494255191
864,53.56826459297199
865,46.77668901495607
866,47.56369357164695
867,33.74351798501971
868,43.60854199563929
869,44.44403289132503
870,49.05329110437883
871,47.06513574417871
872,45.78922304846354
873,47.16981132075462
874,43.7751004016064
875,43.168316831683214
876,35.650224215247064
877,36.13636363636408
878,42.105263157894804
879,44.92939666238807
880,58.379037172455405
881,74.70355731225234
882,64.45300919063101
883,61.661149563647264
884,62.088974854932665
885,63.16055808573634
886,58.54134709245602
887,56.01441056775039
888,49.32395889670056
889,51.192815043502414
890,55.15729757607014
891,62.09266802443996
892,55.518434554349206
893,57.036038244668
894,44.13646055437133
895,40.008557980317335
896,38.623063683304736
897,33.606901096267904
898,21.160184574818643
899,17.184527584020955
900,24.2555831265513
901,26.46720368239413
902,26.472579553149018
903,25.622542595020292
904,30.36809815950903
905,34.39685567308217
906,37.650259395166444
907,36.7232335698855
908,33.522983325822324
909,32.520902781572715
910,36.98049194232402
911,41.90427372332912
912,41.44486692015178
913,46.19604732632746
914,39.271419849399365
915,41.19835259731605
916,49.8423110886844
917,49.68561368209285
918,42.448216340622444
919,29.829934714275666
920,29.617477592830895
921,33.64851350122835
922,47.470525187567006
923,57.533787557241794
924,55.34413906506899
925,63.98944591028965
926,66.0745422842187
927,53.32953358031679
928,63.10391363022897
929,60.54852320675152
930,47.115939242453344
931,50.251205787781124
932,43.62870025485214
933,43.22198485142735
934,44.16731366459565
935,41.74463401210851
936,38.77964141121977
937,30.140613586557976
938,35.172004744956254
939,24.667430182360476
940,24.242424242421194
941,25.454545454542497
942,25.454545454544416
943,27.92792792792666
944,35.281241077375924
945,42.85714285714319
946,58.333333333332845
947,64.50511945392554
948,67.90915823253553
949,60.9808811305072
950,60.33057851239687
951,57.90545610462052
952,50.0
953,55.386311253631916
954,58.46908939014258
955,59.895164741120965
956,50.282253925895404
957,49.468750000000135
958,47.009993126420945
959,40.441699010550224
960,25.7800704579777
961,19.007233724120738
962,9.686609686611135
963,17.145371629730718
964,14.793593814718264
965,16.313946406821145
966,26.38990638990738
967,22.284290134068215
968,21.03590448376538
969,21.299356409810528
970,25.357216815075674
971,28.00680408244901
972,23.976357718005914
973,25.67654343638162
974,25.071658903618612
975,29.14280071104021
976,44.58278555409403
977,40.18586764941495
978,51.780626780626385
979,62.36833705713391
980,61.998388396454416
981,63.532322919888585
982,59.613989261356174
983,56.968520316183444
984,59.5076752869591
985,63.42742942792922
986,72.86799887419059
987,76.32076661202915
988,79.92869404463212
989,75.92733739837317
990,63.65345776168223
991,68.74444020841246
992,67.33948608990075
993,64.95939592534558
994,63.72686380060425
995,55.33559022667096
996,52.44106569953942
997,57.94797687861289
998,54.32070934776124
999,40.19459948710216
1000,41.97585071350118
1001,34.783681526565985
1002,36.12060129825636
1003,37.23366789927763
1004,41.65271348369893
1005,27.717391304346336
1006,27.92890430258909
1007,17.979548263847207
1008,12.6436781609182
1009,21.818181818182197
1010,24.82073910645431
1011,25.355969331874064
1012,23.283882323359578
1013,27.62529832935573
1014,29.650572712775272
1015,45.80587512565688
1016,53.58714367706203
1017,53.66414407510322
1018,51.76492330438069
1019,54.104693838130316
1020,59.22430066929676
1021,58.039017827111046
1022,58.47170450694758
1023,55.603370987986544
1024,61.650840029217754
1025,58.92857142857134
1026,62.85714285714425
1027,67.64705882353138
1028,64.21052631578954
1029,55.56136452751377
1030,55.26315789473626
1031,58.67032213845116
1032,60.53748231966154
1033,62.841209275022436
1034,54.49317038102236
1035,73.36894932815493
1036,72.79151943462863
1037,68.52131841548383
