,open,high,low,close,volume
2025-06-30 09:30:00,202.01,202.19,200.5501,201.0793,3645385
2025-06-30 09:45:00,201.09,201.19,200.62,200.76,1873146
2025-06-30 10:00:00,200.755,201.3711,200.3524,201.08,2297219
2025-06-30 10:15:00,201.07,201.12,200.76,201.0099,1353620
2025-06-30 10:30:00,201.005,201.32,200.12,200.16,1939621
2025-06-30 10:45:00,200.1552,200.21,199.5901,199.97,2627399
2025-06-30 11:00:00,199.97,200.28,199.63,200.07,1621408
2025-06-30 11:15:00,200.08,200.2853,199.86,199.97,1159304
2025-06-30 11:30:00,199.98,200.16,199.8,200.06,1707565
2025-06-30 11:45:00,200.07,200.23,199.821,200.035,921756
2025-06-30 12:00:00,200.04,200.42,199.99,200.32,1302978
2025-06-30 12:15:00,200.31,200.41,200.041,200.31,777993
2025-06-30 12:30:00,200.31,200.48,200.15,200.34,795799
2025-06-30 12:45:00,200.34,200.41,199.845,200.12,1235368
2025-06-30 13:00:00,200.12,200.265,199.95,200.09,1154547
2025-06-30 13:15:00,200.085,200.1889,199.94,200.155,1041345
2025-06-30 13:30:00,200.155,200.33,200.08,200.3,738104
2025-06-30 13:45:00,200.3,200.34,199.9,200.27,986066
2025-06-30 14:00:00,200.275,200.49,200.275,200.42,830789
2025-06-30 14:15:00,200.43,200.83,200.37,200.695,1119646
2025-06-30 14:30:00,200.6951,200.73,199.2607,199.815,2275672
2025-06-30 14:45:00,199.85,202.68,199.53,201.9195,6200565
2025-06-30 15:00:00,201.91,205.63,201.885,205.43,8726150
2025-06-30 15:15:00,205.4392,207.09,204.4,206.5856,9707384
2025-06-30 15:30:00,206.54,207.39,206.13,206.31,6170026
2025-06-30 15:45:00,206.32,206.7,205.05,205.12,7786699
2025-07-01 09:30:00,206.665,208.38,206.1401,207.53,10072867
2025-07-01 09:45:00,207.53,209.11,207.48,209.0848,6250182
2025-07-01 10:00:00,209.06,209.68,206.6895,209.66,4491352
2025-07-01 10:15:00,209.66,209.83,208.42,209.5401,4189811
2025-07-01 10:30:00,209.5501,209.9,207.92,208.47,4605242
2025-07-01 10:45:00,208.4877,209.0,207.47,208.96,3141518
2025-07-01 11:00:00,208.96,210.1865,208.05,208.6838,5345840
2025-07-01 11:15:00,208.6708,208.88,207.776,207.95,2382881
2025-07-01 11:30:00,207.96,208.13,206.79,207.09,2471361
2025-07-01 11:45:00,207.12,207.64,207.06,207.3029,1542643
2025-07-01 12:00:00,207.3,207.91,207.17,207.865,1329160
2025-07-01 12:15:00,207.87,208.185,207.54,207.87,1769650
2025-07-01 12:30:00,207.87,208.53,207.62,208.28,1915149
2025-07-01 12:45:00,208.28,208.285,207.14,207.1754,2000459
2025-07-01 13:00:00,207.18,207.7399,207.09,207.73,1328326
