,MACD,Signal,Histogram
0,0.0,0.0,0.0
1,0.07880683760683382,0.015761367521366764,0.06304547008546706
2,0.17866054983319657,0.048341203983732726,0.13031934584946384
3,0.20152188505517188,0.07897734019802055,0.12254454485715133
4,0.23703179857604084,0.11058823187362463,0.12644356670241622
5,0.2605642744277077,0.14058344038444126,0.11998083404326643
6,0.2632924048023426,0.16512523326802153,0.09816717153432108
7,0.29049316330323904,0.19019881927506505,0.100294344028174
8,0.30590124288880816,0.21333930399781367,0.09256193889099448
9,0.30852009449699835,0.23237546209765061,0.07614463239934774
10,0.30347423641798343,0.2465952169617172,0.05687901945626622
11,0.3054197979068789,0.25836013315074957,0.04705966475612933
12,0.27651652217414835,0.2619914109554293,0.014525111218719022
13,0.20541775603400936,0.25067667997114534,-0.045258923937135986
14,0.1394113978782343,0.22842362355256315,-0.08901222567432884
15,0.09964560276613099,0.20266801939527673,-0.10302241662914574
16,0.0777009416068779,0.17767460383759698,-0.09997366223071907
17,0.06598816216180126,0.15533731550243784,-0.08934915334063659
18,0.06323099123291342,0.13691605064853296,-0.07368505941561954
19,0.06910123063353524,0.12335308664553343,-0.054251856011998195
20,0.06097106229348981,0.11087668177512472,-0.04990561948163491
21,0.05948251373881419,0.10059784816786262,-0.041115334429048425
22,0.04649424904511079,0.08977712834331225,-0.04328287929820146
23,0.03459182799967664,0.07874006827458514,-0.044148240274908504
24,0.02567008127746817,0.06812607087516175,-0.042455989597693575
25,0.05859270044066989,0.06621939678826338,-0.007626696347593498
26,0.07894070462334923,0.06876365835528056,0.010177046268068674
27,0.0804459420357233,0.07110011509136911,0.009345826944354194
28,0.07752559024159211,0.07238521012141372,0.005140380120178395
29,0.06559510846280148,0.07102718978969128,-0.005432081326889798
30,0.05550034230034839,0.0679218202918227,-0.012421477991474306
31,0.04695885493889307,0.06372922722123678,-0.01677037228234371
32,0.041327104385729285,0.059248802654135284,-0.017921698268406
33,0.03484835846076351,0.05436871381546093,-0.01952035535469742
34,0.03176844802428036,0.04984866065722481,-0.018080212632944452
35,0.029791099984024072,0.045837148522584664,-0.016046048538560592
36,0.016423193684843795,0.03995435755503649,-0.023531163870192696
37,-0.0034590485003604954,0.0312716763439571,-0.03473072484431759
38,-0.0066561436768068916,0.023686112339804298,-0.03034225601661119
39,0.003255603904904092,0.01960001065282426,-0.01634440674792017
40,0.016552208375998134,0.018990450197459034,-0.0024382418214609
41,0.026382286427420354,0.0204688174434513,0.005913468983969054
42,0.048509187619529825,0.026076891478667007,0.02243229614086282
43,0.06768543000515592,0.03439859918396479,0.03328683082119113
44,0.09308236714480245,0.04613535277613232,0.046947014368670124
45,0.11211093764289615,0.05933046974948509,0.05278046789341106
46,0.13351154486912264,0.0741666847734126,0.05934486009571005
47,0.15751587765470276,0.09083652334967063,0.06667935430503213
48,0.1745276383538652,0.10757474635050955,0.06695289200335565
49,0.18188639515972227,0.1224370761123521,0.059449319047370164
50,0.20468443658700153,0.138886548207282,0.06579788837971953
51,0.20985914782960435,0.1530810681317465,0.056778079697857864
52,0.192416438429035,0.16094814219120418,0.03146829623783082
53,0.1546682594008928,0.15969216563314192,-0.005023906232249131
54,0.14522033270478119,0.15679779904746977,-0.01157746634268858
55,0.14492215272684916,0.15442266978334565,-0.009500517056496488
56,0.14861306980709799,0.15326074978809612,-0.004647679980998132
57,0.1334898501997941,0.14930656987043572,-0.015816719670641632
58,0.1283444234396569,0.14511414058427996,-0.016769717144623053
59,0.12059294180777158,0.1402099008289783,-0.01961695902120672
60,0.10836721754564849,0.13384136417231235,-0.025474146626663863
61,0.1047252145762343,0.12801813425309674,-0.02329291967686245
62,0.09908290211214421,0.12223108782490624,-0.02314818571276203
63,0.08716732508629832,0.11521833527718466,-0.028051010190886336
64,0.07683839921037361,0.10754234806382246,-0.030703948853448848
65,0.0670725638464802,0.09944839122035401,-0.03237582737387382
66,0.05467628185087392,0.090493969346458,-0.035817687495584075
67,0.0459364451665607,0.08158246451047854,-0.03564601934391784
68,0.033787154941919084,0.07202340259676665,-0.038236247654847566
69,0.013529025507324377,0.0603245271788782,-0.04679550167155382
70,0.002281442326278693,0.0487159102083583,-0.046434467882079604
71,-0.013720298824964061,0.03622866840169383,-0.04994896722665789
72,-0.022918012845750013,0.02439933215220506,-0.04731734499795508
73,-0.028267583513382988,0.013865949019087453,-0.042133532532470444
74,-0.030549240492121044,0.004982911116845753,-0.0355321516089668
75,-0.029994421994075537,-0.0020125555053385055,-0.02798186648873703
76,-0.026433872777730016,-0.006896818959816808,-0.019537053817913208
77,-0.04006325589566018,-0.013530106346985484,-0.026533149548674695
78,-0.08132430243084343,-0.027088945563757075,-0.05423535686708636
79,-0.018792936583139408,-0.02542974376763354,0.006636807184494133
80,-0.013365878593234015,-0.02301697073275364,0.009651092139519625
81,0.04039339337711567,-0.010334897910779779,0.05072829128789545
82,0.11150400938377913,0.014032883548132006,0.09747112583564713
83,0.15360601327066092,0.04194750949263779,0.11165850377802314
84,0.21947047770315464,0.07745210313474116,0.14201837456841349
85,0.27096576490579594,0.11615483548895211,0.15481092941684382
86,0.3448385310627913,0.16189157460371995,0.18294695645907133
87,0.4481412563303735,0.21914151094905068,0.2289997453813228
88,0.5566121521231508,0.28663563918387075,0.2699765129392801
89,0.6774447667514067,0.36479746469737795,0.3126473020540288
90,0.7727541398447642,0.4463887997268552,0.32636534011790896
91,0.8525486157458886,0.527620762930662,0.3249278528152266
92,0.9200759274547892,0.6061117958354875,0.3139641316193017
93,0.987577087027816,0.6824048540739532,0.30517223295386275
