,open,high,low,close,volume
2025-06-30 09:30:00,202.01,202.19,200.5501,200.76,5518531
2025-06-30 10:00:00,200.755,201.3711,200.3524,201.0099,3650839
2025-06-30 10:30:00,201.005,201.32,199.5901,199.97,4567020
2025-06-30 11:00:00,199.97,200.2853,199.63,199.97,2780712
2025-06-30 11:30:00,199.98,200.23,199.8,200.035,2629321
2025-06-30 12:00:00,200.04,200.42,199.99,200.31,2080971
2025-06-30 12:30:00,200.31,200.48,199.845,200.12,2031167
2025-06-30 13:00:00,200.12,200.265,199.94,200.155,2195892
2025-06-30 13:30:00,200.155,200.34,199.9,200.27,1724170
2025-06-30 14:00:00,200.275,200.83,200.275,200.695,1950435
2025-06-30 14:30:00,200.6951,202.68,199.2607,201.9195,8476237
2025-06-30 15:00:00,201.91,207.09,201.885,206.5856,18433534
2025-06-30 15:30:00,206.54,207.39,205.05,205.12,13956725
2025-07-01 09:30:00,206.665,209.11,206.1401,209.0848,16323049
2025-07-01 10:00:00,209.06,209.83,206.6895,209.5401,8681163
2025-07-01 10:30:00,209.5501,209.9,207.47,208.96,7746760
2025-07-01 11:00:00,208.96,210.1865,207.776,207.95,7728721
2025-07-01 11:30:00,207.96,208.13,206.79,207.3029,4014004
2025-07-01 12:00:00,207.3,208.185,207.17,207.87,3098810
2025-07-01 12:30:00,207.87,208.53,207.14,207.1754,3915608
2025-07-01 13:00:00,207.18,208.14,207.09,208.09,2473415
2025-07-01 13:30:00,208.0889,208.37,207.61,208.15,2473911
2025-07-01 14:00:00,208.15,208.42,207.88,208.22,2191517
2025-07-01 14:30:00,208.21,208.43,207.8501,208.01,1916032
2025-07-01 15:00:00,208.02,208.35,207.375,208.19,3118638
2025-07-01 15:30:00,208.185,208.23,207.515,207.86,5285934
2025-07-02 09:30:00,208.91,213.34,208.14,212.62,15490130
2025-07-02 10:00:00,212.625,212.97,211.2737,212.3,7675489
2025-07-02 10:30:00,212.28,212.85,211.46,211.91,4720517
2025-07-02 11:00:00,211.92,212.59,211.42,211.475,3618086
2025-07-02 11:30:00,211.48,212.02,211.23,211.55,2887692
2025-07-02 12:00:00,211.56,211.9188,210.86,210.9203,3171670
2025-07-02 12:30:00,210.92,211.25,210.22,211.105,2861123
2025-07-02 13:00:00,211.1,211.35,210.43,210.805,2171553
2025-07-02 13:30:00,210.81,211.72,210.74,211.61,2059905
2025-07-02 14:00:00,211.61,211.77,211.16,211.58,1644509
2025-07-02 14:30:00,211.575,212.5,211.37,212.27,2825472
2025-07-02 15:00:00,212.27,212.96,211.84,211.945,4170327
2025-07-02 15:30:00,211.94,212.75,211.93,212.41,6287688
2025-07-03 09:30:00,212.145,213.79,211.8101,213.33,7012296
2025-07-03 10:00:00,213.33,213.8599,213.23,213.735,3734117
2025-07-03 10:30:00,213.74,214.41,213.04,213.96,5623601
2025-07-03 11:00:00,213.97,214.46,213.84,213.88,3365718
2025-07-03 11:30:00,213.885,214.65,213.67,214.33,2894096
2025-07-03 12:00:00,214.34,214.4999,213.95,214.1,2374406
2025-07-03 12:30:00,214.1,214.22,213.33,213.59,3896341
2025-07-03 13:00:00,213.39,213.55,201.25,213.24,8573650
2025-07-03 13:30:00,213.25,226.2517,202.0051,213.28,52375
2025-07-03 14:00:00,213.29,226.2517,210.9,213.3,20906
2025-07-03 14:30:00,213.26,213.3,213.2,213.25,18024
2025-07-03 15:00:00,213.2485,213.25,213.1,213.15,22844
2025-07-03 15:30:00,213.19,213.8,213.11,213.42,60840
2025-07-07 09:30:00,212.68,216.23,212.47,212.94,9012793
2025-07-07 10:00:00,212.93,213.12,211.81,212.365,3820133
2025-07-07 10:30:00,212.37,212.38,211.6,212.11,2486538
2025-07-07 11:00:00,212.115,212.6,211.865,212.04,2011111
2025-07-07 11:30:00,212.035,212.16,211.53,211.75,1876363
2025-07-07 12:00:00,211.74,212.22,210.38,210.84,2968749
2025-07-07 12:30:00,210.8373,211.1699,209.9,210.635,2838539
2025-07-07 13:00:00,210.635,210.795,209.52,209.6704,2200092
2025-07-07 13:30:00,209.67,210.5,209.55,210.05,1931806
2025-07-07 14:00:00,210.06,210.21,208.91,208.9404,2278796
2025-07-07 14:30:00,208.94,209.78,208.8,209.7623,2269137
2025-07-07 15:00:00,209.765,210.07,209.34,209.45,2118965
2025-07-07 15:30:00,209.46,210.25,209.19,209.94,4768891
2025-07-08 09:30:00,210.1,210.49,208.48,208.66,5719028
2025-07-08 10:00:00,208.645,209.68,208.45,209.28,3085096
2025-07-08 10:30:00,209.285,210.83,209.26,210.725,3072787
2025-07-08 11:00:00,210.73,211.43,209.78,209.8707,2781338
2025-07-08 11:30:00,209.88,210.65,209.78,210.55,2114220
2025-07-08 12:00:00,210.56,211.185,210.46,210.83,1645606
2025-07-08 12:30:00,210.84,210.89,210.2603,210.38,1759537
2025-07-08 13:00:00,210.37,210.435,209.5,209.84,1966202
2025-07-08 13:30:00,209.84,209.935,209.32,209.85,1426890
2025-07-08 14:00:00,209.81,210.26,209.72,209.95,1454582
2025-07-08 14:30:00,209.95,210.05,209.56,209.7,1156044
2025-07-08 15:00:00,209.7,209.73,209.405,209.605,1480198
2025-07-08 15:30:00,209.6,210.81,209.3,210.035,5121490
2025-07-09 09:30:00,209.53,210.9,209.35,209.86,5395866
2025-07-09 10:00:00,209.88,210.495,209.585,209.91,3039267
2025-07-09 10:30:00,209.91,209.91,207.45,207.6481,4393417
2025-07-09 11:00:00,207.64,207.95,207.22,207.81,3916210
