,DIFF,DEA,BAR
0,0.0,0.0,0.0
1,0.037891737891698085,0.0075783475783396176,0.030313390313358467
2,0.059967695067371096,0.018056217076145915,0.04191147799122518
3,0.05424409803902108,0.02529379326872095,0.028950304770300132
4,0.07785958073145594,0.03580695076126795,0.04205262997018799
5,0.07513257052488598,0.04367207471399156,0.03146049581089442
6,0.003136963434030804,0.03556505245799941,-0.032428089023968605
7,-0.07400645481027368,0.013650751004344791,-0.08765720581461847
8,-0.07381390266760945,-0.0038421797300460577,-0.0699717229375634
9,-0.08678197261093601,-0.02043013830622405,-0.06635183430471196
10,-0.1043292413971244,-0.037209958924404124,-0.06711928247272028
11,-0.12983517288040503,-0.055735001715604304,-0.07410017116480072
12,-0.18405280953675174,-0.0813985632798338,-0.10265424625691794
13,-0.19148767803341116,-0.10341638623054927,-0.08807129180286188
14,-0.18101086357313534,-0.11893528169906649,-0.06207558187406885
15,-0.1176912982431304,-0.11868648500787929,0.0009951867647488843
16,-0.08149857556867346,-0.11124890312003813,0.02975032755136467
17,-0.06178634469188182,-0.10135639143440688,0.03957004674252505
18,-0.03486894050416822,-0.08805890124835915,0.053189960744190926
19,0.032071691728390306,-0.06403278265300925,0.09610447438139956
20,0.05864145553761091,-0.03949793501488522,0.09813939055249613
21,0.07520019976948333,-0.016558308058011513,0.09175850782749484
22,0.11364137887119341,0.009481629327829472,0.10415974954336393
23,0.15502815590105,0.03859093464247358,0.11643722125857643
24,0.2449177600594794,0.07985629972587475,0.16506146033360464
25,0.3676755096415718,0.13742014170901418,0.23025536793255763
26,0.45968713099915703,0.20187353956704276,0.25781359143211424
27,0.5352086334190176,0.26854055833743773,0.26666807508157986
28,0.587480937213229,0.332328634112596,0.255152303100633
29,0.5938198540068242,0.3846268780914417,0.20919297591538255
30,0.6135575255230492,0.43041300757776324,0.18314451794528597
31,0.6427701453660575,0.4728844351354221,0.16988571023063537
32,0.616851028201836,0.5016777537487049,0.11517327445313108
33,0.5903121070252837,0.5194046244040207,0.07090748262126301
34,0.5181199367926297,0.5191476868817425,-0.0010277500891128222
35,0.43970020300019996,0.503258190105434,-0.06355798710523408
36,0.4095457083992642,0.4845156937642001,-0.07496998536493593
37,0.3911608968641076,0.4658447343841816,-0.07468383752007401
38,0.38911512262012593,0.4504988120313705,-0.06138368941124456
39,0.3447873493792599,0.4293565195009484,-0.08456917012168846
40,0.32686915268755,0.40885904613826873,-0.08198989345071872
41,0.2799888657902443,0.3830850100686639,-0.10309614427841962
42,0.21653577644570987,0.3497751633440731,-0.13323938689836323
43,0.16914049816790566,0.31364823030883965,-0.144507732140934
44,0.12449587275739304,0.27581775879855036,-0.15132188604115732
45,0.06257206797420167,0.23316862063368066,-0.17059655265947898
46,0.018927240090192754,0.1903203445249831,-0.17139310443479033
47,0.00042343203193695444,0.15234096202637387,-0.15191752999443692
48,-0.038760160401579924,0.11412073754078313,-0.15288089794236304
49,-0.06506912700450584,0.07828276463172534,-0.1433518916362312
50,-0.10564089141411159,0.041498033422557964,-0.14713892483666957
51,-0.12545477075019562,0.008107472588007245,-0.13356224333820288
52,-0.13356587540670262,-0.020227197010934728,-0.11333867839576789
53,-0.12284305568852005,-0.0407503687464518,-0.08209268694206825
54,-0.08512183732591438,-0.049624662462344316,-0.03549717486357007
55,-0.09528188747123068,-0.05875610746412159,-0.036525780007109085
56,-0.07982002490729201,-0.06296889095275568,-0.01685113395453633
57,-0.05283628614745339,-0.06094236999169523,0.008106083844241836
58,-0.005565991835339901,-0.04986709436042417,0.04430110252508427
59,0.01956675717650569,-0.0359803240530382,0.05554708122954389
60,0.025074560451571415,-0.023769347152116278,0.04884390760368769
61,0.054232246089270575,-0.008169028503838908,0.062401274593109485
62,0.07887564941131586,0.009239907079192047,0.06963574233212382
63,0.09965352210616629,0.0273226300845869,0.07233089202157938
64,0.12596492068928455,0.047051088205526434,0.07891383248375812
65,0.17765088914393345,0.07317104839320784,0.10447984075072561
66,0.2075455836409219,0.10004595544275066,0.10749962819817124
67,0.24774746014270477,0.1295862563827415,0.11816120375996328
68,0.26126462879636847,0.1559219308654669,0.10534269793090156
69,0.2824388819717001,0.18122532108671355,0.10121356088498654
70,0.3133595774000355,0.20765217234937794,0.10570740505065757
71,0.32882895897614617,0.23188752967473159,0.09694142930141458
72,0.35435250341350866,0.25638052442248704,0.09797197899102161
73,0.2833598102699284,0.2617763815919753,0.021583428677953098
74,0.24945431210602464,0.2593119676947852,-0.009857655588760561
75,0.24057274730972722,0.25556412361777364,-0.014991376308046422
76,0.3030664187962202,0.265064582653463,0.038001836142757206
77,0.15034133043042175,0.24211993220885475,-0.091778601778433
78,0.036948838628973135,0.20108571349287846,-0.16413687486390532
79,-0.03835238815139519,0.15319809316402375,-0.19155048131541894
80,-0.11645617109161321,0.09926724031289635,-0.21572341140450957
81,-0.14999667144542173,0.04941445796123274,-0.19941112940665445
82,-0.1865312894269664,0.002225308483592911,-0.18875659791055932
83,-0.2054512175956802,-0.03930999673226171,-0.16614122086341848
84,-0.27885513604587686,-0.08721902459498473,-0.19163611145089213
85,-0.32850487117298144,-0.13547619391058408,-0.19302867726239736
86,-0.30662355400846764,-0.1697056659301608,-0.13691788807830685
87,-0.2839914843894462,-0.19256282962201787,-0.09142865476742834
88,-0.29054480324191445,-0.2121592243459972,-0.07838557889591724
89,-0.292368117975343,-0.2282010030718664,-0.06416711490347662
90,-0.37941067945632767,-0.25844293834875864,-0.12096774110756903
91,-0.40100344780233854,-0.28695504023947466,-0.11404840756286388
