,MIDDLE,UPPER,LOWER
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,201.104775,201.7174757370306,200.49207426296937
20,201.050895,201.53966061372282,200.56212938627718
21,201.016145,201.44971135369062,200.58257864630937
22,200.995925,201.39219509329754,200.59965490670245
23,200.989425,201.3820646332248,200.59678536677524
24,200.985175,201.38391088079268,200.5864391192073
25,200.967175,201.35749199330556,200.57685800669444
26,200.96617500000002,201.35796359431015,200.5743864056899
27,200.969175,201.35190644012883,200.58644355987119
28,200.9562,201.3525958680542,200.55980413194578
29,200.9422,201.34584601479898,200.53855398520105
30,200.91570000000002,201.2798009114025,200.55159908859753
31,200.88245,201.1496773819879,200.6152226180121
32,200.86645,201.14706877117672,200.58583122882325
33,200.83395000000002,201.11709316631604,200.550806833684
34,200.804115,201.10367798186715,200.50455201813284
35,200.783115,201.04609068648847,200.52013931351155
36,200.769365,201.01379731998347,200.52493268001652
37,200.77043,201.015585023779,200.525274976221
38,200.769425,201.01475218325123,200.5240978167488
39,200.769925,201.01555513594442,200.52429486405558
40,200.78504500000003,201.08090472120494,200.4891852787951
41,200.799045,201.1337833674326,200.4643066325674
42,200.815265,201.21348390449174,200.41704609550828
43,200.820765,201.2314085528211,200.41012144717888
44,200.83426500000002,201.2608611989367,200.40766880106332
45,200.837265,201.26487370098462,200.40965629901538
46,200.83626499999997,201.26413716622656,200.40839283377338
47,200.842265,201.26662351414362,200.41790648585638
48,200.84899000000001,201.27047775545665,200.42750224454338
49,200.85549,201.2752052563595,200.4357747436405
50,200.86399,201.28585369911553,200.44212630088447
51,200.87323999999998,201.29592318557553,200.45055681442443
52,200.88999,201.303545331498,200.47643466850204
53,200.91074,201.28600274528637,200.53547725471364
54,200.93761,201.2565223152874,200.6186976847126
55,200.94611,201.2469042671624,200.64531573283762
56,200.95911,201.24061327959177,200.67760672040825
57,200.96556,201.2394512684757,200.69166873152432
58,200.972315,201.22999538362498,200.71463461637504
59,200.98230999999998,201.2287433273767,200.73587667262328
60,200.97512999999998,201.21003439802263,200.74022560197733
61,200.96738,201.18924739140368,200.7455126085963
62,200.96513,201.1728278382166,200.75743216178338
63,200.97308,201.21089150076182,200.7352684992382
64,200.97508,201.21730937020376,200.73285062979622
65,200.98558,201.23227093043266,200.73888906956734
66,201.00358,201.24575017591994,200.76140982408006
67,201.01408,201.2443026711591,200.78385732884092
68,201.01758,201.240595492499,200.794564507501
69,201.01608,201.24307657868934,200.78908342131064
70,201.00258000000002,201.26968674861888,200.73547325138117
71,200.98308000000003,201.3103657988137,200.65579420118635
72,200.96283,201.3341631663357,200.59149683366428
73,200.93113,201.40621806097826,200.45604193902173
74,200.88813,201.47246583746613,200.30379416253385
75,200.85138,201.52599405917903,200.17676594082099
76,200.80613,201.56104598166175,200.05121401833824
77,200.75918,201.58969553450405,199.92866446549593
78,200.710915,201.61919817465886,199.80263182534114
79,200.65742,201.6161835295964,199.6986564704036
80,200.60298500000002,201.60290414257315,199.60306585742688
81,200.54674,201.58210462410213,199.51137537589787
82,200.47299,201.50305196011905,199.44292803988097
83,200.39553999999998,201.41278429276255,199.3782957072374
84,200.32554,201.32540791422412,199.32567208577586
85,200.26058999999998,201.21356309157358,199.30761690842638
86,200.19783999999999,201.0626495364391,199.33303046356087
87,200.14133999999999,200.91453258688978,199.3681474131102
88,200.08434,200.7730997378051,199.3955802621949
89,200.03984,200.62476871144608,199.45491128855392
90,199.99734999999998,200.49771127789964,199.49698872210033
91,199.9529,200.3891688548184,199.5166311451816
92,199.91640999999998,200.23434293500083,199.59847706499914
93,199.89785999999998,200.1596472129086,199.63607278709136
94,199.88210999999998,200.1136472599328,199.65057274006716
95,199.87636,200.08614394299184,199.66657605700817
96,199.8755,200.08197009213862,199.66902990786136
97,199.8775,200.09013857153778,199.66486142846222
98,199.88676500000003,200.12208365316351,199.65144634683654
99,199.89727,200.1597821077916,199.63475789220837
100,199.91177,200.20721374546974,199.61632625453024
101,199.930265,200.2567688165334,199.6037611834666
102,199.945265,200.27220086221206,199.61832913778795
103,199.962005,200.26978844044288,199.65422155955713
104,199.979505,200.26858414396236,199.69042585603762
105,199.989955,200.26829743563283,199.7116125643672
106,199.995705,200.27139667732754,199.72001332267243
107,199.998955,200.27241244574228,199.72549755425771
108,200.009455,200.26637359431652,199.7525364056835
109,200.014835,200.27277917409137,199.75689082590864
110,200.03207500000002,200.28977845156336,199.77437154843668
111,200.058775,200.2750023060809,199.8425476939191
112,200.07882,200.29184335528058,199.86579664471944
113,200.08532,200.28684670555754,199.88379329444246
114,200.09757,200.26438459105756,199.93075540894242
115,200.10057,200.26362656880912,199.9375134311909
116,200.10268000000002,200.26449364980553,199.9408663501945
117,200.10318,200.26436885425818,199.94199114574184
118,200.095865,200.26950391481196,199.92222608518804
119,200.08686,200.26720674672106,199.90651325327894
120,200.07511,200.2550406638395,199.89517933616048
121,200.06261,200.23163908999172,199.8935809100083
122,200.05061,200.2438016190845,199.8574183809155
123,200.05463,200.24977257244186,199.85948742755815
124,200.05763,200.25559191127604,199.85966808872394
125,200.06053,200.25786918542838,199.86319081457162
126,200.05778,200.25899218546408,199.85656781453594
127,200.05402999999998,200.26357631795548,199.84448368204448
128,200.04853,200.26845940589934,199.82860059410066
129,200.0404,200.26770259914758,199.81309740085243
130,200.02665,200.2477617793056,199.8055382206944
131,200.01065499999999,200.21715177938182,199.80415822061815
